jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_17,17,100Mb,1,1,100,104.96,101.38,854.2,1130.0,299.35,1840.0,67638.0,60000.0,11513364.48,0,0,0,0,1126.78,191754.24,5566,431,257564,257593,260540,60
sb_jdbc_17,17,100Mb,1,2,1,0.30395,0.53042,23.13,3750.0,842.88,4860.0,224067.0,60000.0,38136709.12,0,0,0,0,3734.41,635566.08,3693,1189,292788,292814,295784,60
sb_jdbc_17,17,100Mb,1,2,5,0.92,1.55,41.51,7650.0,2440.0,10470.0,456940.0,60000.0,77762396.16,0,0,0,0,7615.65,1300234.24,8628,2952,302008,302037,305124,60
sb_jdbc_17,17,100Mb,1,2,100,20.69,28.41,415.24,8060.000000000001,2850.0,10990.0,481109.0,60000.0,81883299.84,0,0,0,0,8013.5,1363148.8,8844,2712,318412,318519,321688,60
sb_jdbc_17,17,100Mb,1,4,1,0.27144,0.19344,10.59,3850.0,760.88,4800.0,230006.0,60000.0,39143342.08,0,0,0,0,3833.4,652410.88,4132,1269,352660,352687,355712,60
sb_jdbc_17,17,100Mb,1,4,5,0.42039,0.50705,21.09,13290.0,2490.0,14690.0,793571.0,60000.0,135056588.8,0,0,0,0,13226.09,2254438.4,11352,5097,326932,326963,330072,60
sb_jdbc_17,17,100Mb,1,4,100,9.29,9.04,202.23,12880.0,2810.0,14640.0,768868.0,60000.0,130851799.04,0,0,0,0,12804.3,2181038.08,14489,5503,392944,393138,396248,60
sb_jdbc_17,17,100Mb,2,1,5,1.6,1.93,47.68,1560.0,420.08,2690.0,186252.0,60000.0,31698452.48,0,0,0,0,3103.63,528209.92,4892,1108,239572,239600,242584,60
sb_jdbc_17,17,100Mb,2,1,100,104.78,102.55,923.99,577.97,189.91,1450.0,69059.0,60000.0,11754536.96,0,0,0,0,1149.65,195645.44,5574,429,261696,261724,264692,60
sb_jdbc_17,17,100Mb,2,2,5,0.6406000000000001,0.93,31.61,3850.0,1120.0,4980.0,459243.0,60000.0,78160855.04,0,0,0,0,7653.81,1300234.24,8091,3029,298056,298081,301104,60
sb_jdbc_17,17,100Mb,2,2,100,18.46,23.14,311.25,4090.0,1320.0,5700.0,488622.0,60000.0,83162562.56,0,0,0,0,8141.24,1384120.32,8716,2834,322524,322701,325640,60
sb_jdbc_17,17,100Mb,2,4,5,0.37575,0.38702,18.54,5720.0,1200.0,7450.0,684128.0,60000.0,116433879.04,0,0,0,0,11383.21,1939865.6,10290,4416,338196,338222,341216,60
sb_jdbc_17,17,100Mb,2,4,100,8.88,8.12,172.88,6580.0,1330.0,10660.0,785640.0,60000.0,133703925.76,0,0,0,0,13082.04,2222981.12,14309,5766,367560,367787,370808,60
sb_jdbc_17,17,100Mb,4,1,5,1.67,2.17,99.51,739.01,211.15,1300.0,176579.0,60000.0,30052188.16,0,0,0,0,2941.87,500674.56,4959,1041,247228,247251,250208,60
sb_jdbc_17,17,100Mb,4,1,100,104.61,98.96,859.53,279.86,115.57,870.0,66892.0,60000.0,11387535.36,0,0,0,0,1113.42,189480.96,5555,448,260512,260541,263532,60
sb_jdbc_17,17,100Mb,4,2,5,0.6815,1.18,44.68,1860.0,563.7,3330.0,443191.0,60000.0,75424071.68,0,0,0,0,7374.23,1258291.2,8154,2988,291772,291799,294840,60
sb_jdbc_17,17,100Mb,4,2,100,18.51,23.46,395.74,2060.0,697.85,3060.0,492318.0,60000.0,83791708.16,0,0,0,0,8197.81,1394606.08,8614,2940,314972,315094,318204,60
sb_jdbc_17,17,100Mb,4,4,5,0.38411,0.40297000000000005,19.64,2810.0,536.64,3120.0,671471.0,60000.0,114273812.48,0,0,0,0,11172.55,1897922.56,10457,4343,329692,329721,332804,60
sb_jdbc_17,17,100Mb,4,4,100,8.91,8.08,153.97,3270.0,673.67,4030.0000000000005,781502.0,60000.0,133001379.84,0,0,0,0,13017.06,2212495.36,14451,5584,367412,367441,370564,60
